I1,I2,I3
1.4352,0,0.0273
1.4352,0,0.0249
1.6373,0,0.0245
1.6373,0,0.0214
1.4358,0,0.019
1.5578,0,0.019
1.5582,0,0.0125
1.8317,0,0.0125
1.3559,0,0.0093
1.5578,0,0.0101
1.5582,0,0.0128
1.3563,0,0.0038
1.2408,-0.1047,0.0038
1.7524,0,0.0007
1.4356,0,0.0038
1.832,-0.2094,0.0011
1.7529,-0.1047,0.0011
1.7524,0,-0.002
1.3561,0,-0.0077
1.5576,0,-0.0077
1.8317,-0.1047,-0.0077
1.4355,0,-0.0104
1.4348,-0.1047,-0.0104
1.637,-0.1047,-0.0135
1.558,0,-0.0134
1.5576,-0.1047,-0.0194
1.6373,-0.3142,-0.0165
1.5582,-0.2094,-0.0104
1.4352,-0.2094,-0.0163
1.7527,-0.3142,-0.0192
1.558,-0.2094,-0.0222
1.7524,-0.3142,-0.0251
1.6373,-0.4189,-0.0223
1.558,-0.2094,-0.0225
1.4356,-0.2094,-0.0253
1.5582,-0.3142,-0.0282
1.6373,-0.2094,-0.0255
1.7524,0,-0.0313
1.6375,0,-0.0342
1.947,-0.1047,-0.0342
1.6373,-0.2094,-0.0315
1.637,-0.2094,-0.0342
1.4352,-0.2094,-0.0319
1.558,-0.1047,-0.037
1.4352,-0.1047,-0.0346
1.3559,0,-0.0401
1.637,0,-0.0374
1.4355,-0.1047,-0.0428
1.7527,-0.2094,-0.0406
1.6369,-0.2094,-0.0374
1.5582,-0.1047,-0.0377
1.7527,0,-0.0401
1.6373,-0.1047,-0.0427
1.7527,-0.1047,-0.0432
1.5582,-0.1047,-0.0379
1.3559,0,-0.0432
1.558,0,-0.0406
1.637,0,-0.0458
1.558,0,-0.0432
1.4355,0,-0.0386
1.558,0,-0.0412
1.5576,0,-0.0427
1.637,0,-0.0399
1.4355,0,-0.0406
1.4356,0,-0.0406
1.5578,0,-0.0394
1.5578,0,-0.0375
1.4355,0,-0.037
1.5578,0,-0.037
1.3563,0,-0.0381
1.3558,0,-0.037
1.558,0,-0.0381
1.637,0,-0.0348
1.6375,0,-0.0342
1.4358,0,-0.0317
1.8317,0,-0.0306
1.637,0,-0.0348
1.5576,0,-0.0306
1.5578,0,-0.0284
1.7529,0,-0.0289
1.2406,0,-0.0278
1.5573,0,-0.0227
1.637,0,-0.0249
1.4355,0,-0.0222
1.558,0,-0.0201
1.5582,0,-0.0196
1.5576,0,-0.0194
1.5576,0,-0.0168
1.6369,0,-0.0168
1.558,0,-0.0163
1.3559,0,-0.0134
1.6373,0,-0.0134
1.3559,0,-0.0103
1.1613,0,-0.0075
1.5582,0,-0.0022
1.3559,0,0.0004
1.6373,0,-0.0022
1.5578,0,0.0013
1.5576,0,0.0009
1.5578,0,0.0037
1.558,0,0.004
1.7522,0,0.0064
1.7524,0,0.0099
1.5576,0,0.0126
1.637,0,0.013
1.5578,0,0.0161
1.4352,0,0.0157
1.4355,0,0.0161
1.5578,0,0.022
1.558,0,0.0247
1.558,0,0.022
1.8317,0,0.0247
1.637,0,0.0278
1.3561,0,0.028
1.4351,0,0.0306
1.7529,0,0.0364
1.4351,0,0.0361
1.3563,0,0.037
1.6369,0,0.0364
1.4352,0,0.0397
1.558,0,0.0425
1.4356,0,0.0421
1.637,0,0.045
1.558,0,0.0452
1.7527,0.1047,0.0509
1.558,0,0.048
1.6369,0,0.0536
1.7527,0,0.0509
1.7527,0.2094,0.0536
1.6373,0.2094,0.0538
1.4352,0.2094,0.0509
1.558,0.2094,0.0568
1.3563,0.4189,0.0568
1.5578,0.4189,0.0536
1.7524,0.3142,0.0602
1.4355,0,0.0599
1.8322,0,0.0661
1.4352,0,0.063
1.7527,0,0.069
1.947,0,0.0656
1.3561,0,0.0656
1.5578,0,0.0721
1.558,0,0.0721
1.6373,0,0.0718
1.4352,0,0.0718
1.6369,0,0.0721
1.6373,0,0.0753
1.3558,0,0.0721
1.832,0,0.0749
1.5578,0,0.0747
1.6375,0,0.0749
1.5578,0,0.0784
1.558,0,0.0721
1.5582,0,0.0754
1.7529,0,0.078
1.6375,0,0.0753
1.5578,0,0.078
1.5573,0,0.0753
1.947,0,0.0786
1.5578,0,0.0784
1.558,0,0.0784
1.637,0,0.0778
1.5576,0,0.0754
1.7529,0,0.0754
1.5578,0,0.0753
1.558,0,0.0747
1.558,0,0.0754
1.3561,0,0.0721
1.637,0,0.0721
1.4352,0,0.069
1.637,0,0.0696
1.3563,0,0.0696
1.637,0,0.0696
1.7527,0,0.0665
1.4352,0,0.0657
1.6369,0,0.0696
1.6373,0,0.067
1.6373,-0.1047,0.0665
1.3561,0,0.0632
1.4355,0,0.0595
1.637,0,0.0569
1.5576,0,0.0575
1.7522,0,0.0575
1.558,0,0.0547
1.6369,0,0.0613
